Actual SRT

Timestamp,Signal Value
Tue Mar 08 2022 17:45:49 GMT+0000 (Greenwich Mean Time),5.79428
Tue Mar 08 2022 18:00:49 GMT+0000 (Greenwich Mean Time),5.79428
Tue Mar 08 2022 18:15:50 GMT+0000 (Greenwich Mean Time),5.78947
Tue Mar 08 2022 18:30:50 GMT+0000 (Greenwich Mean Time),5.78713
Tue Mar 08 2022 18:45:51 GMT+0000 (Greenwich Mean Time),5.78469
Tue Mar 08 2022 19:00:50 GMT+0000 (Greenwich Mean Time),5.78469
Tue Mar 08 2022 19:15:51 GMT+0000 (Greenwich Mean Time),5.78036
Tue Mar 08 2022 19:30:54 GMT+0000 (Greenwich Mean Time),5.77773
Tue Mar 08 2022 19:45:52 GMT+0000 (Greenwich Mean Time),5.77507
Tue Mar 08 2022 20:00:53 GMT+0000 (Greenwich Mean Time),5.77538
Tue Mar 08 2022 20:15:52 GMT+0000 (Greenwich Mean Time),5.77093
Tue Mar 08 2022 20:30:52 GMT+0000 (Greenwich Mean Time),5.76812
Tue Mar 08 2022 20:45:53 GMT+0000 (Greenwich Mean Time),5.76526
Tue Mar 08 2022 21:00:53 GMT+0000 (Greenwich Mean Time),5.76508
Tue Mar 08 2022 21:15:54 GMT+0000 (Greenwich Mean Time),5.76032
Tue Mar 08 2022 21:30:54 GMT+0000 (Greenwich Mean Time),5.7569
Tue Mar 08 2022 21:45:55 GMT+0000 (Greenwich Mean Time),5.75324
Tue Mar 08 2022 22:00:54 GMT+0000 (Greenwich Mean Time),5.75251
Tue Mar 08 2022 22:15:55 GMT+0000 (Greenwich Mean Time),5.74613
Tue Mar 08 2022 22:30:56 GMT+0000 (Greenwich Mean Time),5.742
Tue Mar 08 2022 22:45:55 GMT+0000 (Greenwich Mean Time),5.73783
Tue Mar 08 2022 23:01:44 GMT+0000 (Greenwich Mean Time),5.73625
Tue Mar 08 2022 23:15:57 GMT+0000 (Greenwich Mean Time),5.72988
Tue Mar 08 2022 23:30:57 GMT+0000 (Greenwich Mean Time),5.72569
Tue Mar 08 2022 23:45:58 GMT+0000 (Greenwich Mean Time),5.72152
Wed Mar 09 2022 00:00:58 GMT+0000 (Greenwich Mean Time),5.72
Wed Mar 09 2022 00:15:58 GMT+0000 (Greenwich Mean Time),5.71321
Wed Mar 09 2022 00:30:58 GMT+0000 (Greenwich Mean Time),5.70933
Wed Mar 09 2022 00:45:59 GMT+0000 (Greenwich Mean Time),5.7055
Wed Mar 09 2022 01:02:15 GMT+0000 (Greenwich Mean Time),5.70454
Wed Mar 09 2022 01:15:59 GMT+0000 (Greenwich Mean Time),5.69963
Wed Mar 09 2022 01:31:00 GMT+0000 (Greenwich Mean Time),5.69609
Wed Mar 09 2022 01:46:01 GMT+0000 (Greenwich Mean Time),5.69272
Wed Mar 09 2022 02:01:00 GMT+0000 (Greenwich Mean Time),5.69204
Wed Mar 09 2022 02:16:01 GMT+0000 (Greenwich Mean Time),5.68831
Wed Mar 09 2022 02:31:01 GMT+0000 (Greenwich Mean Time),5.68581
Wed Mar 09 2022 02:46:01 GMT+0000 (Greenwich Mean Time),5.68351
Wed Mar 09 2022 03:01:02 GMT+0000 (Greenwich Mean Time),5.68331
Wed Mar 09 2022 03:16:02 GMT+0000 (Greenwich Mean Time),5.68148
