Time,DO,Month,NH4,NO3,Temperature
2018-02-26T08:00:00.000Z,0.8,2,3.912266666666667,0.0,
2018-02-26T09:00:00.000Z,0.9,2,3.752266666666667,0.0,
2018-02-26T10:00:00.000Z,0.9,2,3.762266666666667,0.0,
2018-02-26T11:00:00.000Z,0.9,2,3.832266666666667,0.0,
2018-02-26T12:00:00.000Z,1.1,2,3.912266666666667,0.0,
2018-02-26T13:00:00.000Z,1.2,2,3.642266666666667,0.0,
2018-02-26T14:00:00.000Z,0.8,2,3.602266666666667,0.0,
2018-02-26T15:00:00.000Z,0.7,2,3.472266666666667,0.0,
2018-02-26T16:00:00.000Z,0.9,2,3.442266666666667,0.0,
2018-02-26T17:00:00.000Z,1.3,2,3.442266666666667,0.0,
2018-02-26T18:00:00.000Z,1.5,2,3.522266666666667,0.0,
2018-02-26T19:00:00.000Z,1.1,2,3.692266666666667,0.0,
2018-02-26T20:00:00.000Z,0.9,2,3.752266666666667,0.0,
2018-02-26T21:00:00.000Z,0.8,2,3.6322666666666668,0.0,
2018-02-26T22:00:00.000Z,0.7,2,3.502266666666667,0.0,
2018-02-26T23:00:00.000Z,0.6,2,3.452266666666667,0.0,
2018-02-27T00:00:00.000Z,0.5,2,3.432266666666667,0.0,12.777777777777779
2018-02-27T01:00:00.000Z,0.5,2,3.432266666666667,0.0,
2018-02-27T02:00:00.000Z,0.5,2,3.422266666666667,0.0,
2018-02-27T03:00:00.000Z,0.4,2,3.422266666666667,0.0,
2018-02-27T04:00:00.000Z,0.4,2,3.422266666666667,0.0,
2018-02-27T05:00:00.000Z,0.5,2,3.422266666666667,0.0,
2018-02-27T06:00:00.000Z,0.3,2,3.422266666666667,0.0,
2018-02-27T07:00:00.000Z,0.2,2,3.422266666666667,0.0,
2018-02-27T08:00:00.000Z,0.3,2,3.422266666666667,0.0,
2018-02-27T09:00:00.000Z,1.0,2,4.642266666666667,15.876925,
2018-02-27T10:00:00.000Z,1.0,2,3.802266666666667,0.0,
2018-02-27T11:00:00.000Z,0.9,2,3.542266666666667,0.0,
2018-02-27T12:00:00.000Z,0.3,2,3.372266666666667,0.011700000000000266,
2018-02-27T13:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-27T14:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-27T15:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-27T16:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-27T17:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-27T18:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-27T19:00:00.000Z,0.1,2,3.312266666666667,0.0,
2018-02-27T20:00:00.000Z,0.1,2,3.352266666666667,0.0,
2018-02-27T21:00:00.000Z,0.1,2,3.392266666666667,0.0,
2018-02-27T22:00:00.000Z,0.1,2,3.432266666666667,0.0,
2018-02-27T23:00:00.000Z,0.1,2,3.432266666666667,0.0,
2018-02-28T00:00:00.000Z,0.1,2,3.4022666666666668,0.0,12.777777777777779
2018-02-28T01:00:00.000Z,0.1,2,3.352266666666667,0.0,
2018-02-28T02:00:00.000Z,0.1,2,3.312266666666667,0.0,
2018-02-28T03:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-28T04:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-28T05:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-28T06:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-28T07:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-28T08:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-28T09:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-28T10:00:00.000Z,0.0,2,3.3022666666666667,0.0,
2018-02-28T11:00:00.000Z,0.1,2,3.3022666666666667,0.0,
2018-02-28T12:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-28T13:00:00.000Z,0.2,2,3.3022666666666667,0.0,
2018-02-28T14:00:00.000Z,0.3,2,3.3022666666666667,0.0,
2018-02-28T15:00:00.000Z,0.3,2,3.3022666666666667,0.0,
