Time,NO3 Effluent
2018-06-07T04:59:00.000Z,5.853475000000001
2018-06-07T05:59:00.000Z,5.400395
2018-06-07T06:59:00.000Z,5.102995
2018-06-07T07:59:00.000Z,4.952985
2018-06-07T08:59:00.000Z,5.00751
2018-06-07T09:59:00.000Z,5.287575
2018-06-07T10:59:00.000Z,5.749325
2018-06-07T11:59:00.000Z,6.169455
2018-06-07T12:59:00.000Z,6.214000000000001
2018-06-07T13:59:00.000Z,5.943735
2018-06-07T14:59:00.000Z,5.60969
2018-06-07T15:59:00.000Z,5.273885
2018-06-07T16:59:00.000Z,5.04838
2018-06-07T17:59:00.000Z,5.039875
2018-06-07T18:59:00.000Z,5.28372
2018-06-07T19:59:00.000Z,5.733164999999999
2018-06-07T20:59:00.000Z,6.30814
2018-06-07T21:59:00.000Z,6.88717
2018-06-07T22:59:00.000Z,7.24692
2018-06-07T23:59:00.000Z,7.415405
2018-06-08T00:59:00.000Z,7.49501
2018-06-08T01:59:00.000Z,7.383680000000001
2018-06-08T02:59:00.000Z,7.04971
2018-06-08T03:59:00.000Z,6.66096
2018-06-08T04:59:00.000Z,6.327680000000001
2018-06-08T05:59:00.000Z,6.092210000000001
2018-06-08T06:59:00.000Z,5.8852
2018-06-08T07:59:00.000Z,5.750890000000001
2018-06-08T08:59:00.000Z,5.548615
2018-06-08T09:59:00.000Z,5.3463400000000005
2018-06-08T10:59:00.000Z,5.3463400000000005
2018-06-08T11:59:00.000Z,5.73542
2018-06-08T12:59:00.000Z,6.1245
2018-06-08T13:59:00.000Z,6.3287
2018-06-08T14:59:00.000Z,6.5329
2018-06-08T15:59:00.000Z,6.5329
2018-06-08T16:59:00.000Z,6.5329
2018-06-08T17:59:00.000Z,6.73397
2018-06-08T18:59:00.000Z,6.935040000000001
2018-06-08T19:59:00.000Z,6.935040000000001
2018-06-08T20:59:00.000Z,6.935040000000001
2018-06-08T21:59:00.000Z,7.13321
2018-06-08T22:59:00.000Z,7.337435
2018-06-08T23:59:00.000Z,7.338395
2018-06-09T00:59:00.000Z,7.35833
2018-06-09T01:59:00.000Z,7.34676
2018-06-09T02:59:00.000Z,7.31016
2018-06-09T03:59:00.000Z,6.016143
2018-06-09T04:59:00.000Z,3.362075
2018-06-09T05:59:00.000Z,1.356085
2018-06-09T06:59:00.000Z,1.49713
2018-06-09T07:59:00.000Z,2.382475
2018-06-09T08:59:00.000Z,2.199085
2018-06-09T09:59:00.000Z,1.684535
2018-06-09T10:59:00.000Z,1.6236750000000002
2018-06-09T11:59:00.000Z,1.96222
2018-06-09T12:59:00.000Z,2.17042
2018-06-09T13:59:00.000Z,2.248035
2018-06-09T14:59:00.000Z,2.190645
2018-06-09T15:59:00.000Z,2.25561
2018-06-09T16:59:00.000Z,2.524785
2018-06-09T17:59:00.000Z,2.80925
2018-06-09T18:59:00.000Z,3.05367
2018-06-09T19:59:00.000Z,3.1654000000000004
2018-06-09T20:59:00.000Z,3.015185
2018-06-09T21:59:00.000Z,2.86497
2018-06-09T22:59:00.000Z,2.9267650000000005
2018-06-09T23:59:00.000Z,3.009225
2018-06-10T00:59:00.000Z,3.02259
2018-06-10T01:59:00.000Z,2.9714650000000002
2018-06-10T02:59:00.000Z,2.928265
2018-06-10T03:59:00.000Z,2.90432
2018-06-10T04:59:00.000Z,2.8823199999999995
2018-06-10T05:59:00.000Z,3.11219
2018-06-10T06:59:00.000Z,3.3345
2018-06-10T07:59:00.000Z,3.38246
2018-06-10T08:59:00.000Z,3.400285
2018-06-10T09:59:00.000Z,3.176895
2018-06-10T10:59:00.000Z,3.06678
2018-06-10T11:59:00.000Z,3.2170850000000004
2018-06-10T12:59:00.000Z,3.308285
2018-06-10T13:59:00.000Z,3.35538
2018-06-10T14:59:00.000Z,3.2447400000000006
2018-06-10T15:59:00.000Z,3.100605
2018-06-10T16:59:00.000Z,3.1391900000000006
2018-06-10T17:59:00.000Z,3.280555
2018-06-10T18:59:00.000Z,3.381275
2018-06-10T19:59:00.000Z,3.370575
2018-06-10T20:59:00.000Z,3.3035300000000003
2018-06-10T21:59:00.000Z,3.21767
2018-06-10T22:59:00.000Z,3.138155
2018-06-10T23:59:00.000Z,3.09068
2018-06-11T00:59:00.000Z,3.07772
2018-06-11T01:59:00.000Z,3.06562
2018-06-11T02:59:00.000Z,3.06562
2018-06-11T03:59:00.000Z,3.06562
2018-06-11T04:59:00.000Z,3.06562
2018-06-11T05:59:00.000Z,3.06562
2018-06-11T06:59:00.000Z,3.0023200000000005
2018-06-11T07:59:00.000Z,2.9390200000000006
2018-06-11T08:59:00.000Z,2.998785
2018-06-11T09:59:00.000Z,3.0367
2018-06-11T10:59:00.000Z,2.9654
2018-06-11T11:59:00.000Z,2.9159500000000005
2018-06-11T12:59:00.000Z,3.03085
2018-06-11T13:59:00.000Z,3.14575
